,Company,Style,Price,Star Ratings List,Size,Country of Manufacturer,Units Sold,Units Returned,Months on Market,Sales Trend,Average Star Rating
12,Vintage Vogue,sailor,99.50999999999999,"[1.0, 1.9, 1.5, 5.0, 1.8, 1.9, 4.6, 3.8, 3.7, 5.0]",L,Bangladesh,8530,202,29,Decreasing,1.5793949580542779
13,Vintage Vogue,tapered,120.44,"[4.4, 5.0, 4.5, 3.1, 4.2, 3.9, 5.0, 1.1, 2.1, 4.8]",L,Bangladesh,3587,19,52,Decreasing,2.267242637500627
14,Blue Threads,paper bag,94.11999999999999,"[2.9, 3.7, 5.0, 5.0, 3.1, 3.9, 3.1, 5.0, 1.2, 4.7]",M,USA,1112,504,0,Decreasing,2.2202444088498448
15,Blue Threads,tapered,57.77,"[2.2, 1.0, 5.0, 1.5, 3.6, 5.0, 1.0, 1.8, 4.0, 1.9]",M,India,999,269,55,Increasing,1.3305072660710398
16,Modern Denim,jogger,121.01,"[4.9, 2.6, 4.8, 3.4, 3.3, 3.5, 5.0, 1.0, 5.0, 1.9]",M,China,7323,173,11,Stable,2.0194120848938413
17,Trendy Tailors,jogger,149.32,"[2.3, 3.8, 3.9, 1.4, 5.0, 3.7, 4.7, 1.6, 5.0, 1.1]",M,Mexico,8534,175,38,Increasing,1.7683536175558443
18,Retro Wear,paper bag,118.08,"[1.4, 5.0, 2.5, 1.6, 3.4, 1.6, 4.4, 1.3, 4.8, 4.8]",L,USA,6983,339,50,Decreasing,1.6278574819544736
19,Comfort Fit,cropped,103.95,"[3.7, 4.1, 3.1, 5.0, 1.7, 4.5, 1.6, 3.5, 2.9, 1.9]",XS,India,404,434,45,Increasing,1.7265355336513355
20,Denim Co.,wide,132.38,"[2.4, 2.3, 2.5, 5.0, 3.5, 1.2, 2.5, 4.3, 3.1, 4.5]",M,Vietnam,8124,466,3,Decreasing,1.6686869882431197
21,Retro Wear,cropped,127.27000000000001,"[3.1, 5.0, 2.3, 5.0, 4.1, 2.2, 5.0, 2.5, 1.4, 4.4]",XS,Turkey,8846,293,58,Decreasing,1.9838907373057266
22,Comfort Fit,skinny,23.57,"[3.5, 2.1, 3.6, 4.1, 4.6, 3.1, 2.9, 2.9, 5.0, 2.4]",L,Bangladesh,9428,419,30,Decreasing,1.9137222888350394
23,Vintage Vogue,straight,68.52,"[5.0, 2.7, 1.8, 1.3, 5.0, 4.5, 1.2, 2.3, 3.8, 3.4]",M,India,5520,263,9,Stable,1.6441405685069412
24,Classic Cuts,skinny,62.910000000000004,"[3.3, 2.9, 3.9, 2.8, 4.8, 4.2, 5.0, 5.0, 2.7, 3.5]",XL,Bangladesh,463,186,36,Stable,2.267242637500627
25,Classic Cuts,wide,98.51,"[1.4, 3.2, 5.0, 4.6, 2.2, 2.2, 2.8, 3.8, 4.0, 2.3]",XL,China,2822,51,55,Increasing,1.6851328849994185
26,Comfort Fit,paper bag,129.7,"[1.7, 4.3, 3.3, 3.0, 4.2, 5.0, 3.3, 3.9, 2.4, 2.7]",M,Vietnam,5673,384,16,Stable,1.879066581787766
27,Urban Style,sailor,36.28,"[3.3, 1.0, 3.0, 5.0, 4.4, 3.6, 3.4, 3.4, 4.6, 2.8]",XL,Bangladesh,3352,184,27,Decreasing,1.939900412651872
28,Urban Style,flared,25.25,"[2.6, 2.8, 4.6, 2.9, 5.0, 5.0, 3.9, 3.3, 3.6, 5.0]",XL,India,6293,75,0,Increasing,2.324341997764146
29,Jeans Unlimited,jogger,124.11,"[3.5, 5.0, 5.0, 1.6, 2.4, 5.0, 4.0, 3.8, 1.8, 2.0]",M,India,6126,259,16,Stable,1.905031866199601
30,Urban Style,paper bag,89.04,"[3.4, 2.7, 2.4, 2.5, 5.0, 4.2, 2.2, 3.8, 5.0, 2.0]",XL,Turkey,5024,64,49,Stable,1.8276076282199698
31,Comfort Fit,cropped,105.02000000000001,"[4.8, 2.8, 2.7, 2.3, 3.5, 5.0, 3.8, 5.0, 2.2, 2.2]",L,Bangladesh,9786,349,8,Decreasing,1.9224304783699333
32,Urban Style,cropped,131.79999999999998,"[1.9, 4.2, 1.3, 3.2, 5.0, 2.1, 1.7, 4.5, 5.0, 2.9]",L,Bangladesh,8566,206,11,Increasing,1.7099249185653853
33,Comfort Fit,cropped,74.22,"[4.7, 5.0, 2.3, 2.6, 5.0, 3.1, 5.0, 4.8, 1.7, 2.0]",XL,Vietnam,107,499,31,Stable,2.091352798051915
34,Comfort Fit,trouser,95.30999999999999,"[2.8, 3.7, 3.6, 5.0, 4.3, 4.7, 1.2, 5.0, 2.5, 1.1]",XL,Turkey,5627,402,47,Increasing,1.8877040734336523
35,Comfort Fit,wide,54.17,"[5.0, 1.7, 3.0, 4.1, 5.0, 3.8, 3.9, 3.9, 3.1, 3.8]",M,Turkey,7353,58,22,Decreasing,2.192294017303782
36,Retro Wear,straight,94.28,"[4.6, 1.9, 3.7, 4.7, 3.4, 5.0, 3.9, 5.0, 2.2, 2.7]",XL,Bangladesh,7254,436,15,Decreasing,2.1737621653427057
37,Vintage Vogue,wide,33.78,"[5.0, 2.9, 1.6, 3.3, 1.2, 5.0, 5.0, 1.5, 3.4, 3.1]",S,Vietnam,8545,343,62,Increasing,1.7265355336513357
38,Retro Wear,wide,103.39999999999999,"[2.7, 2.1, 4.9, 1.5, 1.9, 5.0, 3.6, 4.9, 1.1, 4.5]",S,China,208,139,15,Increasing,1.7432126128170133
39,Blue Threads,straight,68.4,"[4.1, 1.3, 3.9, 2.4, 3.8, 3.0, 5.0, 5.0, 3.9, 5.0]",S,China,9941,-13,50,Stable,2.201590360105674
40,Jeans Unlimited,tapered,72.85,"[4.8, 5.0, 3.6, 2.7, 4.7, 5.0, 2.9, 5.0, 5.0, 1.9]",XS,USA,1031,227,29,Decreasing,2.5105261539470853
41,Jeans Unlimited,flared,102.08,"[1.2, 4.2, 1.7, 3.8, 5.0, 2.4, 3.2, 5.0, 3.2, 2.7]",XL,Mexico,6400,225,38,Stable,1.7599565045395236
42,Vintage Vogue,skinny,96.82000000000001,"[2.3, 4.8, 3.6, 5.0, 1.9, 2.3, 1.3, 2.6, 3.4, 2.3]",M,Turkey,7870,390,23,Increasing,1.5235815007292683
43,Denim Co.,cropped,20.619999999999997,"[3.4, 5.0, 4.3, 2.4, 2.6, 5.0, 5.0, 4.2, 2.3, 2.3]",M,India,6030,447,29,Decreasing,2.1186459944846874
44,Vintage Vogue,cropped,116.67,"[5.0, 2.7, 3.5, 3.2, 5.0, 5.0, 4.5, 1.9, 1.8, 1.3]",XS,Vietnam,779,258,19,Decreasing,1.8877040734336514
45,Urban Style,jogger,130.83,"[5.0, 1.9, 5.0, 1.1, 3.2, 2.4, 3.3, 1.9, 5.0, 2.3]",S,Vietnam,9874,48,19,Increasing,1.652306434175613
46,Jeans Unlimited,trouser,58.769999999999996,"[1.5, 1.1, 4.3, 5.0, 4.0, 2.3, 4.9, 5.0, 2.1, 2.9]",S,Turkey,7885,208,29,Stable,1.8190916143115734
47,Vintage Vogue,cropped,102.75999999999999,"[4.1, 2.1, 2.1, 2.3, 4.4, 5.0, 4.0, 2.8, 4.1, 4.8]",XS,China,6600,49,21,Stable,2.0462481552711163
48,Denim Co.,wide,63.980000000000004,"[4.1, 2.6, 1.0, 5.0, 2.8, 2.2, 4.0, 3.5, 5.0, 1.1]",L,Bangladesh,5719,408,48,Decreasing,1.6686869882431197
49,Blue Threads,trouser,74.13999999999999,"[4.1, 3.9, 2.8, 2.1, 5.0, 5.0, 5.0, 3.3, 3.5, 3.5]",L,Turkey,5208,459,42,Stable,2.27670544815825
50,Modern Denim,paper bag,84.34,"[2.2, 3.2, 3.6, 4.9, 1.1, 4.6, 5.0, 3.8, 1.4, 3.2]",L,USA,4994,331,24,Stable,1.8105927367269654
51,Modern Denim,flared,100.6,"[3.7, 4.4, 2.0, 5.0, 3.1, 2.0, 3.6, 4.0, 5.0, 5.0]",L,Turkey,1317,431,58,Stable,2.2389810021803473
52,Denim Co.,paper bag,104.75,"[1.7, 5.0, 2.1, 2.9, 2.1, 5.0, 4.7, 1.2, 2.4, 1.2]",L,China,731,174,51,Increasing,1.429695474265731
53,Blue Threads,skinny,23.98,"[1.4, 1.6, 3.6, 2.8, 1.2, 5.0, 2.8, 3.2, 1.9, 4.9]",XS,USA,6755,440,42,Increasing,1.4374334993047326
54,Modern Denim,cropped,139.63,"[3.4, 5.0, 3.1, 3.1, 4.5, 4.9, 1.9, 1.9, 1.7, 2.1]",S,Bangladesh,3410,63,14,Decreasing,1.6933804317911663
55,Denim Co.,sailor,118.54,"[4.9, 3.0, 4.2, 5.0, 5.0, 3.2, 4.2, 2.3, 3.7, 5.0]",XL,Mexico,6002,312,52,Stable,2.5005124517910793
56,Comfort Fit,wide,30.260000000000005,"[1.1, 3.4, 5.0, 2.9, 4.8, 4.0, 1.3, 2.4, 2.9, 5.0]",XL,USA,9103,380,26,Stable,1.7936461848862064
57,Denim Co.,wide,143.67,"[3.1, 3.7, 5.0, 2.7, 3.8, 1.1, 1.7, 2.3, 4.3, 1.5]",XL,Vietnam,370,256,43,Decreasing,1.4998986039218278
58,Trendy Tailors,cropped,56.14,"[4.3, 3.6, 5.0, 3.6, 3.3, 2.5, 1.6, 3.9, 1.3, 1.2]",M,India,551,129,42,Decreasing,1.5874319485779078
59,Comfort Fit,tapered,134.31,"[5.0, 5.0, 1.0, 3.1, 2.5, 1.4, 2.9, 4.5, 5.0, 4.9]",M,Vietnam,832,0,47,Stable,2.0105040344391902
60,Modern Denim,straight,146.07000000000002,"[1.6, 5.0, 4.6, 1.9, 1.3, 2.8, 5.0, 5.0, 4.8, 4.5]",XS,Turkey,4245,179,11,Stable,2.118645994484688
61,Vintage Vogue,tapered,18.16,"[2.0, 1.9, 3.9, 4.2, 3.9, 1.9, 5.0, 2.0, 4.0, 3.8]",XS,Turkey,878,54,45,Stable,1.7767675702988823
62,Modern Denim,trouser,58.71,"[1.1, 5.0, 2.1, 5.0, 1.9, 1.6, 3.3, 3.2, 3.3, 5.0]",S,Bangladesh,4917,319,41,Increasing,1.6851328849994185
63,Urban Style,wide,93.34,"[2.1, 4.7, 5.0, 2.0, 5.0, 3.1, 4.3, 1.5, 4.0, 4.5]",M,China,9082,188,21,Stable,2.091352798051915
64,Retro Wear,sailor,42.7,"[5.0, 4.7, 4.4, 5.0, 4.7, 2.6, 1.2, 3.5, 2.3, 4.6]",S,China,3556,152,49,Stable,2.257801038744198
65,Vintage Vogue,straight,140.69,"[3.2, 1.4, 3.1, 4.3, 5.0, 2.2, 4.4, 5.0, 4.4, 5.0]",L,Bangladesh,7402,342,53,Decreasing,2.257801038744198
66,Trendy Tailors,wide,95.83,"[1.7, 1.8, 3.6, 5.0, 2.7, 3.3, 3.1, 2.7, 3.2, 5.0]",S,Turkey,3167,421,41,Stable,1.7348657437456332
67,Comfort Fit,skinny,36.22,"[1.4, 3.3, 3.0, 4.7, 5.0, 4.9, 4.5, 4.3, 1.4, 2.9]",S,Mexico,298,485,62,Stable,2.0194120848938413
68,Vintage Vogue,flared,38.07,"[5.0, 1.9, 1.7, 3.3, 4.6, 4.6, 5.0, 3.9, 1.5, 3.0]",XS,Vietnam,9669,367,23,Stable,1.939900412651872
69,Urban Style,jogger,114.00999999999999,"[1.7, 1.5, 2.0, 3.4, 5.0, 3.6, 1.7, 2.4, 4.1, 4.9]",XS,Turkey,4519,511,10,Decreasing,1.5874319485779074
70,Modern Denim,trouser,136.6,"[5.0, 2.9, 1.6, 2.1, 4.9, 4.2, 3.9, 3.6, 1.6, 3.2]",S,Vietnam,9453,102,15,Stable,1.8105927367269663
71,Vintage Vogue,jogger,52.94,"[2.1, 1.3, 5.0, 4.3, 5.0, 2.2, 4.4, 4.5, 2.9, 1.6]",M,India,2724,323,13,Decreasing,1.8361408309936622
72,Urban Style,straight,82.41,"[3.9, 3.5, 4.3, 1.4, 2.8, 3.6, 4.5, 5.0, 5.0, 3.1]",S,India,4442,17,7,Stable,2.1737621653427044
73,Classic Cuts,wide,26.349999999999994,"[2.0, 4.5, 2.9, 5.0, 2.0, 3.1, 2.7, 3.0, 3.1, 1.4]",L,Turkey,299,390,7,Decreasing,1.5394489327109562
74,Urban Style,cropped,121.34,"[4.3, 2.0, 3.2, 5.0, 4.1, 3.6, 1.3, 2.9, 5.0, 1.0]",M,Mexico,1960,352,36,Increasing,1.7599565045395236
75,Trendy Tailors,skinny,77.9,"[4.4, 2.0, 5.0, 2.8, 4.2, 1.9, 2.1, 4.0, 1.2, 2.9]",XS,Bangladesh,6018,132,20,Stable,1.6035539515683377
76,Trendy Tailors,tapered,99.39,"[3.5, 3.1, 4.9, 2.5, 3.7, 3.1, 1.6, 1.5, 5.0, 4.5]",L,Bangladesh,4267,459,10,Increasing,1.8446912760928613
77,Modern Denim,skinny,81.93,"[4.8, 1.8, 5.0, 1.8, 1.6, 5.0, 5.0, 4.8, 2.2, 2.7]",XL,Vietnam,4036,542,47,Decreasing,1.957442188853983
78,Denim Co.,paper bag,135.06,"[2.9, 2.1, 3.8, 4.9, 5.0, 2.4, 1.9, 5.0, 5.0, 1.1]",L,Bangladesh,2820,65,33,Increasing,1.905031866199602
79,Vintage Vogue,sailor,153.93,"[3.2, 5.0, 2.6, 2.5, 4.8, 1.4, 2.9, 2.5, 3.2, 5.0]",L,China,7453,462,44,Decreasing,1.8190916143115725
80,Comfort Fit,flared,25.53,"[4.6, 4.3, 2.1, 5.0, 4.5, 2.0, 4.0, 5.0, 1.8, 1.4]",XL,Turkey,6611,274,58,Increasing,1.957442188853983
81,Retro Wear,flared,28.4,"[2.5, 5.0, 4.8, 3.8, 3.8, 1.3, 4.8, 3.6, 3.4, 5.0]",S,USA,3099,128,20,Decreasing,2.257801038744198
82,Retro Wear,skinny,92.52,"[4.9, 3.6, 3.5, 3.0, 3.7, 4.3, 2.5, 2.9, 1.1, 5.0]",XS,USA,5741,472,60,Decreasing,1.939900412651872
83,Urban Style,trouser,42.73,"[1.0, 5.0, 5.0, 2.3, 5.0, 2.9, 2.9, 1.3, 1.9, 2.5]",S,Vietnam,3985,24,9,Stable,1.5474063755065868
84,Denim Co.,sailor,107.06,"[2.8, 4.5, 3.7, 5.0, 2.2, 5.0, 5.0, 3.0, 4.8, 3.3]",XL,Bangladesh,8449,176,18,Stable,2.38223258194102
85,Urban Style,jogger,66.7,"[5.0, 2.3, 5.0, 4.9, 4.0, 3.2, 3.3, 3.6, 4.5, 3.5]",XS,Bangladesh,9064,39,32,Decreasing,2.38223258194102
86,Denim Co.,trouser,137.5,"[2.1, 5.0, 3.3, 1.9, 3.6, 2.7, 1.8, 3.3, 5.0, 5.0]",XL,China,2334,126,33,Increasing,1.8704466139817328
87,Urban Style,trouser,137.63,"[3.1, 2.3, 1.8, 1.7, 1.9, 1.7, 5.0, 5.0, 1.4, 5.0]",M,Vietnam,9007,349,55,Decreasing,1.4763570296167658
88,Urban Style,skinny,49.82,"[2.5, 1.1, 2.3, 4.2, 5.0, 5.0, 3.2, 2.4, 2.4, 4.5]",M,Turkey,3551,48,8,Decreasing,1.7767675702988819
89,Retro Wear,paper bag,106.86,"[1.6, 1.2, 4.0, 5.0, 4.4, 3.6, 3.5, 1.9, 5.0, 5.0]",XS,China,3445,86,16,Stable,2.0016145093534483
90,Retro Wear,flared,76.18,"[1.3, 3.2, 3.0, 2.7, 5.0, 4.5, 4.7, 5.0, 4.9, 5.0]",XS,Mexico,9949,120,27,Stable,2.38223258194102
91,Classic Cuts,sailor,106.53,"[5.0, 5.0, 3.1, 2.6, 1.5, 2.2, 3.0, 2.7, 1.8, 3.4]",S,Mexico,1568,383,13,Increasing,1.5874319485779078
92,Trendy Tailors,straight,137.41,"[2.3, 3.5, 5.0, 5.0, 3.3, 1.1, 1.9, 5.0, 2.9, 1.2]",XL,USA,27,60,32,Decreasing,1.6604885619845433
93,Modern Denim,wide,59.0,"[2.1, 1.4, 3.5, 2.7, 3.9, 4.6, 5.0, 5.0, 1.7, 2.5]",XS,USA,4796,104,61,Increasing,1.7599565045395236
94,Vintage Vogue,skinny,94.58000000000001,"[3.8, 3.5, 2.4, 1.1, 4.2, 4.5, 3.3, 5.0, 3.7, 1.3]",M,Turkey,5130,425,47,Decreasing,1.7936461848862064
95,Comfort Fit,straight,116.06,"[3.8, 3.6, 4.6, 4.4, 5.0, 1.7, 2.5, 1.6, 1.7, 4.8]",XL,Bangladesh,1277,414,8,Increasing,1.870446613981732
96,Vintage Vogue,wide,57.89,"[3.1, 4.5, 4.0, 5.0, 5.0, 4.2, 4.2, 4.2, 4.4, 5.0]",XS,Bangladesh,2598,34,42,Decreasing,2.823543272217697
97,Comfort Fit,wide,84.2,"[4.3, 4.4, 1.2, 5.0, 2.6, 4.6, 2.0, 2.5, 5.0, 1.9]",L,China,3116,419,11,Decreasing,1.8532590179085613
98,Classic Cuts,cropped,29.72,"[4.9, 2.2, 3.2, 2.3, 5.0, 2.3, 4.6, 3.6, 2.7, 4.4]",L,USA,7860,379,45,Stable,2.0016145093534483
99,Classic Cuts,cropped,44.61,"[1.6, 5.0, 3.0, 2.0, 5.0, 5.0, 3.3, 4.5, 2.0, 3.2]",M,Turkey,407,339,38,Increasing,1.9486622873431183
100,Retro Wear,tapered,51.699999999999996,"[4.7, 2.3, 5.0, 4.9, 3.9, 1.1, 4.7, 1.9, 5.0, 4.4]",L,China,8710,69,18,Stable,2.248380532697135
101,Jeans Unlimited,straight,143.59,"[4.1, 5.0, 3.1, 1.6, 1.6, 2.3, 5.0, 1.8, 4.3, 3.6]",L,China,6350,304,20,Decreasing,1.7599565045395236
102,Urban Style,tapered,66.64,"[3.1, 4.3, 5.0, 1.3, 3.0, 3.1, 4.9, 2.4, 4.0, 1.4]",XL,Turkey,5871,313,50,Stable,1.7683536175558443
103,Blue Threads,cropped,58.62,"[3.3, 3.5, 3.3, 5.0, 3.6, 4.6, 5.0, 1.5, 5.0, 1.4]",S,India,1704,436,3,Increasing,2.091352798051915
104,Blue Threads,skinny,133.59,"[3.1, 4.6, 3.7, 4.4, 5.0, 2.7, 1.5, 1.5, 1.8, 3.9]",XS,Vietnam,8979,258,10,Decreasing,1.7432126128170133
105,Jeans Unlimited,trouser,52.72,"[2.2, 4.9, 3.7, 4.3, 3.5, 2.5, 5.0, 2.1, 1.1, 5.0]",S,China,4408,240,56,Decreasing,1.9224304783699333
106,Comfort Fit,paper bag,124.17000000000002,"[3.7, 4.0, 2.8, 1.6, 5.0, 1.6, 5.0, 5.0, 2.6, 2.8]",S,Vietnam,4177,201,26,Decreasing,1.905031866199602
107,Classic Cuts,wide,107.45,"[1.1, 2.1, 4.7, 2.7, 3.7, 1.4, 4.2, 5.0, 1.1, 5.0]",XL,Bangladesh,7947,18,30,Decreasing,1.6441405685069412
108,Comfort Fit,wide,110.47,"[2.8, 2.1, 2.3, 5.0, 4.5, 3.8, 1.5, 1.7, 4.0, 5.0]",M,Vietnam,5413,249,24,Decreasing,1.7851984100359064
109,Comfort Fit,sailor,118.74,"[1.7, 3.4, 2.4, 4.2, 4.4, 4.5, 5.0, 3.7, 5.0, 5.0]",M,Bangladesh,9543,462,42,Decreasing,2.38223258194102
110,Vintage Vogue,straight,66.86,"[5.0, 3.7, 1.7, 2.3, 3.9, 1.7, 3.3, 4.4, 5.0, 3.7]",M,Bangladesh,972,258,40,Stable,1.9574421888539835
111,Trendy Tailors,sailor,51.2,"[1.5, 4.4, 5.0, 3.1, 4.5, 2.4, 4.5, 2.7, 4.0, 2.9]",M,USA,3965,197,12,Stable,1.9838907373057266
112,Modern Denim,flared,110.17999999999999,"[1.9, 3.3, 5.0, 2.9, 5.0, 5.0, 3.6, 5.0, 1.8, 4.4]",M,USA,3548,283,64,Stable,2.248380532697135
113,Blue Threads,straight,115.04,"[3.5, 2.3, 4.4, 1.1, 5.0, 5.0, 4.4, 5.0, 2.2, 2.4]",XS,China,8914,426,53,Decreasing,2.0105040344391902
114,Vintage Vogue,trouser,60.059999999999995,"[4.0, 5.0, 1.1, 4.6, 3.9, 2.3, 2.2, 1.9, 4.5, 3.6]",XL,Mexico,1727,91,54,Decreasing,1.8190916143115734
115,Blue Threads,flared,122.32,"[5.0, 2.0, 4.4, 1.2, 4.1, 5.0, 3.6, 2.0, 3.3, 2.5]",XL,Mexico,-20,0,36,Increasing,1.8190916143115734
116,Blue Threads,skinny,117.38,"[2.0, 1.7, 4.1, 5.0, 3.0, 1.3, 3.1, 3.7, 1.8, 2.7]",M,China,3875,149,13,Increasing,1.437433499304733
117,Urban Style,trouser,33.29,"[4.4, 1.3, 1.2, 4.3, 5.0, 1.3, 1.6, 1.2, 1.4, 1.9]",XL,India,9947,54,39,Increasing,1.0833128649406696
118,Trendy Tailors,flared,100.29,"[1.1, 2.3, 5.0, 4.2, 5.0, 3.2, 1.4, 1.6, 3.6, 5.0]",M,USA,6889,171,23,Decreasing,1.7599565045395236
119,Retro Wear,cropped,103.26,"[3.3, 4.4, 2.0, 5.0, 4.7, 3.9, 4.5, 1.0, 4.0, 4.9]",XL,China,9253,115,9,Stable,2.2296023319881213
120,Vintage Vogue,sailor,147.89,"[5.0, 2.3, 1.5, 4.0, 2.7, 2.0, 1.1, 5.0, 3.5, 3.6]",S,Turkey,5493,400,22,Stable,1.6197401920324044
121,Retro Wear,jogger,22.810000000000002,"[4.8, 3.2, 1.6, 5.0, 1.7, 4.6, 2.1, 3.8, 3.1, 2.4]",L,Bangladesh,8708,231,22,Increasing,1.7515761848244589
122,Retro Wear,flared,63.34,"[2.8, 5.0, 4.9, 3.4, 4.4, 5.0, 1.1, 3.6, 5.0, 3.2]",L,India,4103,471,39,Decreasing,2.2956951922519115
123,Comfort Fit,skinny,152.69,"[3.9, 3.5, 4.3, 4.7, 3.1, 5.0, 5.0, 4.2, 4.7, 3.0]",XS,China,3967,401,15,Decreasing,2.5915517580426997
124,Comfort Fit,skinny,59.14,"[5.0, 4.1, 5.0, 3.8, 1.8, 2.3, 4.4, 2.3, 1.5, 5.0]",XS,Bangladesh,7389,295,17,Stable,2.0016145093534483
125,Blue Threads,tapered,100.86,"[3.3, 5.0, 4.9, 3.4, 5.0, 1.6, 2.5, 3.6, 5.0, 1.7]",S,Vietnam,387,8,42,Decreasing,2.0732537685868664
126,Denim Co.,jogger,150.61,"[4.9, 5.0, 1.6, 3.5, 4.0, 2.6, 4.0, 3.9, 2.5, 2.0]",XS,Vietnam,2442,486,23,Decreasing,1.8963591481556645
127,Blue Threads,cropped,48.739999999999995,"[5.0, 2.4, 2.2, 4.9, 1.7, 5.0, 3.3, 4.5, 2.5, 5.0]",M,Mexico,3680,334,49,Increasing,2.118645994484688
128,Vintage Vogue,cropped,100.60000000000001,"[5.0, 4.6, 4.2, 1.6, 1.5, 4.3, 1.6, 3.0, 5.0, 4.9]",XL,Turkey,5660,263,21,Increasing,2.0462481552711163
129,Classic Cuts,straight,124.54,"[2.8, 5.0, 3.6, 4.4, 2.8, 1.5, 3.7, 5.0, 2.8, 2.0]",XS,Bangladesh,6235,213,54,Stable,1.8618441117748818
130,Urban Style,flared,110.65,"[2.5, 5.0, 4.7, 5.0, 2.8, 4.9, 4.6, 3.0, 3.1, 3.5]",S,Vietnam,9647,256,10,Stable,2.3628459966786632
131,Urban Style,paper bag,113.65,"[4.7, 3.1, 3.0, 5.0, 4.6, 2.2, 5.0, 2.9, 3.4, 2.6]",S,China,1615,158,2,Decreasing,2.118645994484688
132,Classic Cuts,straight,50.1,"[1.8, 3.3, 2.2, 2.1, 3.2, 3.1, 4.9, 2.5, 5.0, 3.2]",XL,Turkey,8563,351,62,Decreasing,1.6686869882431197
133,Jeans Unlimited,jogger,119.99,"[2.0, 4.6, 1.0, 4.6, 4.1, 2.5, 4.2, 4.3, 3.4, 5.0]",M,USA,6192,90,25,Decreasing,2.0462481552711163
134,Vintage Vogue,cropped,122.65,"[5.0, 2.5, 4.7, 5.0, 4.6, 2.7, 3.9, 1.7, 3.0, 5.0]",L,Turkey,2648,162,18,Decreasing,2.267242637500627
135,Classic Cuts,cropped,46.31,"[5.0, 1.5, 1.3, 5.0, 1.2, 1.8, 1.9, 5.0, 3.8, 3.5]",M,China,5932,137,2,Stable,1.563368848668292
136,Trendy Tailors,sailor,136.8,"[3.5, 5.0, 1.6, 2.8, 1.8, 4.3, 5.0, 5.0, 4.0, 3.7]",L,USA,1347,60,26,Increasing,2.136938939981779
137,Vintage Vogue,jogger,98.52,"[2.9, 4.1, 1.0, 1.1, 1.7, 5.0, 5.0, 2.8, 1.2, 2.0]",XS,Bangladesh,9272,225,38,Decreasing,1.3154781871522907
138,Comfort Fit,straight,141.89,"[4.2, 1.3, 1.7, 5.0, 3.2, 3.0, 5.0, 5.0, 4.8, 2.0]",L,Vietnam,2309,127,58,Stable,2.0016145093534483
139,Jeans Unlimited,flared,60.63,"[4.5, 4.9, 3.8, 4.4, 2.9, 5.0, 3.0, 3.7, 5.0, 4.2]",XL,USA,1341,61,22,Increasing,2.5915517580426997
140,Blue Threads,flared,44.81,"[1.3, 2.6, 1.6, 5.0, 4.7, 4.8, 3.8, 2.6, 1.9, 1.8]",XS,China,9669,21,-3,Decreasing,1.5713739345482098
