Company,Style,Price,Star Ratings List,Size,Country of Manufacturer,Units Sold,Units Returned,Months on Market,Sales Trend,Average Star Rating
Vintage Vogue,tapered,75.16,"[4.5, 3.7, 1.7, 5.0, 2.0, 3.4, 5.0, 5.0, 1.1, 4.6]",L,China,8048,186,12,Stable,2.0732537685868664
Jeans Unlimited,wide,102.93,"[3.1, 5.0, 5.0, 1.6, 1.1, 3.8, 3.2, 5.0, 1.1, 3.6]",L,Mexico,8661,240,11,Decreasing,1.7683536175558443
Urban Style,tapered,137.01,"[1.2, 1.7, 2.0, 5.0, 5.0, 2.9, 2.0, 1.5, 1.2, 1.7]",M,India,2548,324,38,Stable,1.1256553419911783
Blue Threads,straight,23.46,"[4.2, 3.4, 5.0, 1.0, 2.4, 5.0, 2.6, 2.0, 4.4, 4.2]",M,India,5169,324,4,Stable,1.91372228883504
Blue Threads,tapered,132.25,"[2.4, 3.5, 1.4, 3.7, 3.0, 4.1, 4.2, 5.0, 5.0, 3.8]",L,Bangladesh,6264,91,2,Stable,2.0822936981616653
Trendy Tailors,skinny,28.99,"[4.8, 2.3, 1.8, 1.5, 1.7, 5.0, 1.8, 3.3, 5.0, 5.0]",L,USA,9876,331,16,Increasing,1.7432126128170133
Denim Co.,wide,98.95,"[3.9, 5.0, 4.8, 1.9, 4.6, 4.7, 2.5, 1.9, 3.5, 5.0]",L,China,5099,353,2,Stable,2.2389810021803473
Trendy Tailors,straight,35.05,"[4.8, 3.9, 4.1, 3.3, 1.8, 2.6, 5.0, 2.8, 3.4, 4.6]",XL,USA,5152,238,60,Increasing,2.1004311550203028
Trendy Tailors,skinny,135.34,"[4.6, 5.0, 3.3, 3.6, 3.1, 4.3, 2.7, 3.4, 1.6, 2.7]",L,India,6308,106,22,Increasing,1.9224304783699333
Retro Wear,flared,41.19,"[3.0, 5.0, 1.6, 2.3, 5.0, 1.3, 1.6, 1.8, 5.0, 3.8]",XL,India,5634,69,54,Stable,1.5954849361743182
Retro Wear,tapered,88.9,"[4.1, 1.5, 5.0, 3.7, 4.9, 2.5, 3.5, 4.8, 3.5, 2.8]",XL,India,7856,319,32,Stable,2.1004311550203028
Jeans Unlimited,jogger,41.16,"[2.8, 4.9, 4.4, 1.2, 5.0, 2.9, 3.4, 2.9, 1.9, 4.3]",M,USA,9865,357,17,Increasing,1.870446613981732
Jeans Unlimited,sailor,116.32,"[2.3, 2.7, 4.2, 5.0, 1.3, 5.0, 4.3, 4.0, 4.0, 4.1]",L,Turkey,729,25,23,Increasing,2.155310739274982
Comfort Fit,straight,51.01,"[3.9, 3.2, 2.2, 4.1, 1.5, 2.7, 2.8, 2.7, 5.0, 2.1]",S,Turkey,4266,179,42,Decreasing,1.5793949580542779
Urban Style,skinny,97.75,"[2.1, 5.0, 5.0, 2.5, 5.0, 2.7, 3.7, 1.1, 4.1, 4.7]",L,Mexico,4000,232,16,Stable,2.0642329239838486
Urban Style,wide,128.01,"[1.9, 1.0, 4.6, 4.7, 5.0, 3.5, 2.1, 1.2, 2.2, 3.6]",XS,Bangladesh,4712,342,23,Decreasing,1.5474063755065868
Jeans Unlimited,jogger,35.89,"[5.0, 1.8, 5.0, 4.9, 5.0, 1.2, 3.8, 3.9, 3.2, 1.5]",XS,Mexico,6143,317,34,Stable,2.0105040344391902
Classic Cuts,paper bag,51.37,"[5.0, 5.0, 1.5, 3.6, 1.9, 2.4, 1.7, 4.0, 5.0, 2.9]",XL,Mexico,6395,497,47,Decreasing,1.8105927367269654
Vintage Vogue,trouser,122.02,"[5.0, 5.0, 3.6, 3.8, 4.3, 5.0, 3.2, 2.6, 3.2, 4.1]",L,Mexico,7889,313,55,Stable,2.4311009738172236
Trendy Tailors,wide,65.81,"[1.5, 4.0, 3.5, 5.0, 5.0, 4.3, 4.2, 2.2, 3.9, 3.3]",XL,Mexico,9496,484,40,Stable,2.155310739274982
Denim Co.,paper bag,134.83,"[1.2, 2.5, 2.9, 4.1, 1.9, 3.8, 5.0, 4.9, 4.5, 3.9]",M,China,9356,445,33,Stable,1.957442188853983
Modern Denim,skinny,50.5,"[4.1, 5.0, 2.4, 3.9, 5.0, 3.7, 2.3, 2.3, 2.5, 5.0]",L,Bangladesh,3612,193,33,Stable,2.091352798051915
Blue Threads,trouser,28.98,"[5.0, 2.4, 4.6, 5.0, 4.4, 3.6, 1.5, 3.7, 1.9, 3.1]",M,Vietnam,6570,427,36,Stable,2.0016145093534483
Urban Style,cropped,119.87,"[4.6, 2.5, 2.7, 2.2, 4.1, 5.0, 1.8, 3.9, 3.7, 5.0]",XS,USA,2659,396,47,Stable,2.0283387367633097
Trendy Tailors,skinny,65.51,"[5.0, 4.2, 1.0, 2.1, 3.9, 3.2, 3.9, 3.2, 3.9, 4.3]",M,Bangladesh,9537,396,57,Decreasing,1.957442188853983
Urban Style,flared,60.35,"[3.5, 2.2, 5.0, 5.0, 4.7, 2.1, 1.7, 4.4, 3.7, 3.9]",XL,Vietnam,5582,465,43,Increasing,2.091352798051915
Jeans Unlimited,wide,105.47,"[5.0, 3.1, 2.3, 4.1, 5.0, 1.1, 4.2, 1.2, 4.1, 3.8]",S,Turkey,1732,119,41,Decreasing,1.8877040734336523
Blue Threads,tapered,143.39,"[2.3, 5.0, 5.0, 3.0, 1.8, 2.0, 3.4, 5.0, 4.4, 1.7]",S,Bangladesh,9392,422,28,Increasing,1.8618441117748818
Blue Threads,straight,25.38,"[3.0, 3.8, 4.7, 5.0, 2.3, 1.8, 1.2, 2.0, 5.0, 2.4]",XL,China,6450,87,1,Increasing,1.6604885619845433
Classic Cuts,flared,144.86,"[1.3, 4.2, 2.8, 2.0, 5.0, 1.7, 4.2, 1.7, 2.5, 3.1]",M,USA,4702,462,18,Stable,1.445187058954756
Jeans Unlimited,wide,146.28,"[4.2, 4.9, 3.2, 4.0, 5.0, 4.7, 5.0, 4.4, 3.6, 3.4]",XL,India,6386,15,58,Decreasing,2.6952450416581213
Blue Threads,cropped,93.38,"[3.3, 5.0, 1.4, 5.0, 5.0, 3.6, 4.2, 2.7, 4.0, 4.0]",XS,Turkey,6506,11,40,Increasing,2.27670544815825
Classic Cuts,straight,75.81,"[1.1, 4.8, 2.0, 1.6, 2.3, 4.5, 3.1, 5.0, 1.9, 2.5]",L,Turkey,9984,18,38,Stable,1.4685411370735983
Modern Denim,straight,72.78,"[5.0, 1.6, 5.0, 1.1, 4.7, 4.2, 5.0, 4.7, 3.6, 4.1]",L,India,2461,320,40,Stable,2.353186562210347
Retro Wear,paper bag,50.48,"[1.1, 1.7, 5.0, 5.0, 2.1, 4.5, 1.5, 5.0, 1.1, 2.1]",M,Vietnam,4830,270,22,Decreasing,1.4920357409128095
Urban Style,trouser,93.23,"[2.5, 5.0, 2.9, 3.4, 2.3, 2.5, 4.0, 4.8, 2.9, 4.0]",XL,India,8856,316,25,Decreasing,1.9224304783699324
Comfort Fit,straight,91.8,"[5.0, 5.0, 5.0, 3.0, 4.4, 1.3, 2.4, 1.2, 1.5, 3.5]",M,China,4414,158,35,Decreasing,1.7515761848244589
Modern Denim,paper bag,54.79,"[3.9, 5.0, 4.2, 1.9, 1.2, 1.2, 3.0, 4.5, 5.0, 3.5]",L,China,5687,268,37,Increasing,1.8446912760928613
Jeans Unlimited,flared,139.72,"[3.6, 1.6, 1.2, 4.2, 5.0, 5.0, 1.2, 1.9, 1.1, 2.2]",L,USA,6157,78,49,Increasing,1.3305072660710402
Retro Wear,trouser,132.72,"[4.5, 4.3, 5.0, 4.3, 4.1, 4.4, 4.7, 5.0, 2.6, 4.5]",M,Mexico,5506,378,28,Increasing,2.8018480683479217
Classic Cuts,flared,77.65,"[5.0, 3.4, 4.4, 5.0, 2.0, 1.5, 4.1, 1.6, 5.0, 1.2]",XS,China,2325,230,2,Stable,1.8276076282199698
Jeans Unlimited,skinny,45.3,"[3.5, 1.1, 2.4, 2.7, 5.0, 5.0, 4.5, 5.0, 2.6, 2.0]",L,Vietnam,2293,341,35,Stable,1.879066581787766
Modern Denim,jogger,79.23,"[3.5, 3.5, 1.4, 3.2, 4.1, 1.7, 4.8, 3.4, 5.0, 1.9]",S,Turkey,4898,241,21,Stable,1.7683536175558443
Blue Threads,jogger,120.3,"[4.1, 5.0, 4.0, 2.1, 3.9, 1.3, 1.2, 1.4, 4.9, 1.4]",L,India,662,72,46,Stable,1.5077771690219435
Comfort Fit,jogger,118.33,"[4.6, 2.1, 5.0, 2.5, 5.0, 1.1, 5.0, 3.7, 2.6, 3.4]",S,USA,2149,80,46,Increasing,1.9838907373057266
Classic Cuts,cropped,35.38,"[5.0, 1.8, 2.0, 4.3, 2.6, 2.4, 4.8, 5.0, 3.0, 1.2]",M,India,9896,358,59,Decreasing,1.7348657437456336
Denim Co.,paper bag,46.26,"[4.2, 1.2, 5.0, 5.0, 5.0, 3.3, 3.1, 3.1, 1.9, 2.7]",M,India,6617,335,44,Increasing,1.939900412651872
Blue Threads,skinny,73.53,"[4.0, 3.3, 1.2, 2.1, 2.7, 1.8, 1.5, 1.2, 5.0, 1.5]",L,Vietnam,6933,246,9,Increasing,1.1327657949761025
Denim Co.,straight,104.56,"[3.4, 4.8, 4.0, 5.0, 1.2, 3.7, 4.1, 2.1, 5.0, 2.7]",M,Turkey,5731,376,16,Decreasing,2.0732537685868664
Denim Co.,sailor,149.14,"[3.1, 5.0, 5.0, 3.0, 5.0, 3.1, 2.4, 1.0, 2.1, 1.4]",XS,Vietnam,4180,265,17,Increasing,1.6523064341756133
Trendy Tailors,trouser,120.67,"[3.2, 1.7, 1.1, 5.0, 2.3, 4.3, 2.7, 3.6, 3.4, 4.7]",XS,Turkey,1584,471,50,Stable,1.7265355336513355
Retro Wear,wide,29.57,"[2.0, 2.9, 4.9, 1.3, 1.8, 4.7, 5.0, 5.0, 3.4, 5.0]",XS,India,8835,397,42,Stable,2.0732537685868664
Urban Style,sailor,120.99,"[2.2, 4.6, 4.9, 3.5, 1.0, 4.6, 4.8, 2.9, 5.0, 4.7]",XL,Bangladesh,1663,149,38,Decreasing,2.27670544815825
Modern Denim,jogger,54.86,"[1.4, 2.5, 3.8, 2.8, 4.5, 5.0, 3.3, 2.2, 5.0, 5.0]",XL,China,4066,303,60,Decreasing,2.0283387367633097
Comfort Fit,tapered,116.13,"[1.1, 1.1, 4.2, 3.9, 5.0, 4.5, 3.1, 3.5, 1.6, 1.5]",M,India,3673,102,54,Stable,1.5235815007292686
Modern Denim,straight,135.24,"[3.9, 4.1, 4.3, 1.2, 5.0, 3.6, 5.0, 2.4, 1.7, 2.6]",M,China,653,411,25,Increasing,1.879066581787766
Vintage Vogue,skinny,116.44,"[3.1, 1.9, 4.9, 4.9, 2.4, 5.0, 1.6, 2.8, 5.0, 5.0]",S,China,3139,396,37,Increasing,2.1277826578243912
Retro Wear,paper bag,109.01,"[1.5, 4.7, 1.9, 1.2, 3.5, 5.0, 4.9, 3.5, 2.2, 4.5]",M,Bangladesh,5908,432,42,Decreasing,1.8021109438315652
Vintage Vogue,cropped,133.76,"[1.8, 5.0, 1.4, 2.7, 3.7, 4.7, 1.1, 1.7, 1.0, 5.0]",XL,Bangladesh,8621,58,38,Decreasing,1.4142659555057224
Urban Style,tapered,69.37,"[5.0, 3.9, 5.0, 1.7, 2.3, 1.3, 4.8, 4.0, 2.3, 5.0]",XS,Turkey,7887,478,9,Stable,2.0105040344391902
Blue Threads,paper bag,140.98,"[5.0, 2.8, 4.1, 2.1, 4.5, 1.7, 2.9, 3.7, 3.1, 4.6]",L,Turkey,2295,167,51,Stable,1.939900412651872
Denim Co.,skinny,70.83,"[2.8, 5.0, 3.2, 1.3, 4.5, 3.3, 2.6, 1.5, 4.1, 1.1]",XS,Mexico,2622,224,16,Decreasing,1.515671459867075
Comfort Fit,trouser,109.72,"[2.4, 4.9, 3.6, 5.0, 1.5, 2.8, 3.8, 1.9, 5.0, 5.0]",S,Vietnam,8088,380,58,Decreasing,2.0642329239838473
Urban Style,tapered,141.18,"[1.4, 1.5, 3.3, 5.0, 1.2, 4.0, 3.3, 1.1, 5.0, 3.8]",XL,Vietnam,3998,369,13,Stable,1.531507316503224
Jeans Unlimited,jogger,95.61,"[5.0, 5.0, 3.9, 5.0, 2.9, 4.2, 3.8, 5.0, 3.9, 4.9]",M,USA,5452,487,30,Decreasing,2.8235432722176963
Modern Denim,trouser,121.98,"[3.1, 2.3, 2.0, 1.1, 1.8, 5.0, 1.4, 5.0, 1.8, 4.0]",L,Bangladesh,8178,295,44,Stable,1.3683484480615915
Denim Co.,paper bag,100.7,"[4.6, 4.3, 4.2, 2.9, 1.4, 5.0, 4.1, 2.6, 3.2, 3.9]",XS,Mexico,3797,229,27,Stable,2.091352798051915
Comfort Fit,cropped,20.89,"[1.4, 2.0, 3.0, 3.5, 5.0, 4.4, 1.5, 4.9, 1.0, 1.4]",XL,India,2407,202,39,Stable,1.4142659555057226
Modern Denim,cropped,114.62,"[2.1, 2.9, 5.0, 5.0, 5.0, 2.7, 2.7, 4.6, 5.0, 4.8]",M,Bangladesh,3264,483,39,Decreasing,2.431100973817223
Comfort Fit,tapered,81.67,"[5.0, 1.7, 5.0, 2.9, 2.6, 5.0, 3.4, 4.0, 2.0, 1.1]",L,Vietnam,872,99,4,Increasing,1.7851984100359064
Retro Wear,sailor,58.4,"[2.5, 5.0, 4.0, 4.0, 1.6, 5.0, 4.5, 3.0, 5.0, 4.9]",XL,China,790,19,29,Increasing,2.401710430433596
Denim Co.,paper bag,87.47,"[3.6, 4.6, 4.6, 2.5, 5.0, 1.5, 3.6, 3.0, 3.8, 2.5]",XS,USA,1497,194,16,Decreasing,1.957442188853983
Vintage Vogue,wide,50.46,"[1.9, 3.7, 1.1, 5.0, 2.2, 2.8, 4.7, 1.8, 5.0, 1.2]",M,Vietnam,6054,293,43,Increasing,1.515671459867075
Urban Style,flared,88.73,"[5.0, 4.8, 3.0, 2.7, 5.0, 5.0, 4.0, 1.2, 4.4, 2.1]",XL,China,2387,37,39,Stable,2.183017987094223
Comfort Fit,paper bag,112.98,"[3.7, 5.0, 3.0, 3.3, 2.8, 1.7, 4.1, 1.4, 2.7, 5.0]",XL,USA,3994,449,42,Decreasing,1.7851984100359064
Classic Cuts,jogger,63.1,"[5.0, 4.0, 5.0, 4.0, 2.8, 1.1, 5.0, 3.3, 3.8, 4.5]",XS,Mexico,6884,21,55,Stable,2.305222374505112
Trendy Tailors,flared,25.74,"[4.7, 1.4, 4.5, 3.4, 3.6, 3.1, 3.7, 5.0, 4.5, 1.2]",L,USA,5427,488,22,Stable,1.9927434348347468
Trendy Tailors,wide,49.13,"[4.6, 1.6, 2.1, 2.1, 5.0, 4.4, 1.9, 1.8, 4.9, 4.1]",L,India,8886,242,16,Increasing,1.7683536175558443
Trendy Tailors,wide,36.22,"[2.5, 4.0, 2.0, 3.9, 5.0, 1.5, 5.0, 1.1, 3.4, 5.0]",XS,Turkey,1586,58,41,Decreasing,1.8446912760928613
Blue Threads,wide,147.22,"[5.0, 5.0, 2.9, 3.2, 1.8, 5.0, 2.7, 4.6, 3.3, 5.0]",L,India,4665,216,30,Decreasing,2.305222374505112
Classic Cuts,sailor,20.72,"[2.0, 4.4, 3.6, 1.2, 2.0, 4.4, 5.0, 4.3, 2.4, 5.0]",S,Vietnam,3847,314,12,Increasing,1.9224304783699324
Urban Style,trouser,93.85,"[3.9, 3.0, 3.9, 5.0, 3.9, 3.3, 1.5, 1.2, 2.3, 4.0]",M,India,6006,450,50,Decreasing,1.7265355336513357
Blue Threads,cropped,92.03,"[1.5, 2.6, 2.4, 1.0, 3.3, 3.8, 5.0, 1.7, 2.3, 2.4]",XL,Mexico,4834,226,7,Decreasing,1.2559736040934526
Trendy Tailors,wide,127.55,"[5.0, 5.0, 2.3, 2.2, 5.0, 2.6, 4.5, 2.4, 2.9, 1.5]",S,Bangladesh,1426,341,43,Stable,1.8446912760928613
Denim Co.,jogger,132.62,"[1.7, 3.8, 3.0, 2.4, 2.1, 1.6, 4.2, 5.0, 5.0, 5.0]",XL,India,6953,63,1,Stable,1.879066581787766
Modern Denim,trouser,120.14,"[1.3, 4.5, 2.6, 5.0, 5.0, 1.1, 2.2, 1.9, 3.2, 1.2]",S,China,9636,314,36,Decreasing,1.4065744269732234
Jeans Unlimited,skinny,67.5,"[2.5, 4.2, 4.6, 3.0, 5.0, 5.0, 4.6, 4.0, 4.9, 4.5]",XL,Mexico,623,48,45,Increasing,2.684749214156871
Classic Cuts,wide,73.68,"[4.4, 5.0, 5.0, 2.7, 2.2, 5.0, 4.9, 3.1, 5.0, 2.5]",XS,USA,10000,126,34,Decreasing,2.431100973817223
Blue Threads,cropped,34.04,"[4.7, 5.0, 4.1, 4.4, 1.1, 2.6, 2.0, 5.0, 5.0, 3.0]",XS,Bangladesh,3452,440,57,Decreasing,2.155310739274982
Modern Denim,paper bag,73.58,"[3.5, 2.6, 5.0, 1.7, 1.1, 3.9, 4.9, 2.5, 4.7, 4.7]",XS,Bangladesh,9770,220,37,Increasing,1.9486622873431183
Modern Denim,jogger,105.52,"[1.1, 5.0, 2.3, 2.2, 2.8, 3.3, 4.1, 5.0, 5.0, 3.3]",L,India,7965,221,33,Decreasing,1.905031866199601
Trendy Tailors,paper bag,77.13,"[2.1, 3.5, 5.0, 4.7, 3.8, 4.9, 4.1, 2.2, 4.1, 4.7]",S,Bangladesh,2774,334,30,Stable,2.3628459966786632
Jeans Unlimited,paper bag,100.57,"[1.6, 5.0, 5.0, 3.2, 2.1, 3.9, 2.0, 4.5, 5.0, 1.5]",XL,Bangladesh,2369,52,55,Stable,1.879066581787766
Urban Style,tapered,134.5,"[5.0, 5.0, 1.7, 3.4, 4.3, 5.0, 1.5, 1.4, 2.2, 4.7]",XS,China,263,451,29,Stable,1.91372228883504
Retro Wear,jogger,138.21,"[2.4, 2.0, 2.7, 4.2, 3.5, 2.1, 5.0, 3.6, 5.0, 3.3]",S,India,4736,250,51,Decreasing,1.879066581787766
Classic Cuts,paper bag,125.79,"[5.0, 3.4, 2.7, 1.6, 2.3, 3.2, 1.6, 5.0, 5.0, 2.4]",XL,USA,6421,132,23,Stable,1.7432126128170133
Comfort Fit,tapered,20.33,"[2.5, 1.4, 4.2, 1.8, 2.6, 3.9, 5.0, 3.6, 4.3, 3.4]",XL,USA,7789,358,16,Stable,1.7851984100359064
Classic Cuts,flared,65.86,"[1.3, 3.6, 4.8, 5.0, 5.0, 4.2, 3.9, 3.6, 3.4, 2.8]",XL,Vietnam,8051,403,2,Decreasing,2.2202444088498434
Comfort Fit,wide,30.0,"[2.9, 2.6, 5.0, 5.0, 1.1, 5.0, 2.9, 4.3, 1.1, 1.3]",L,India,6712,42,56,Decreasing,1.6604885619845433
Urban Style,jogger,110.44,"[3.6, 4.3, 2.0, 2.0, 2.5, 2.5, 1.8, 5.0, 3.4, 3.5]",XS,Turkey,4174,20,55,Increasing,1.6116390261603506
Classic Cuts,jogger,31.74,"[1.9, 1.1, 3.5, 4.4, 1.7, 3.4, 3.4, 5.0, 4.0, 3.0]",XL,USA,1910,63,25,Stable,1.6769017499897672
Classic Cuts,straight,71.11,"[5.0, 3.0, 5.0, 5.0, 2.4, 3.6, 4.2, 3.3, 2.7, 1.5]",M,China,6377,245,47,Increasing,2.046248155271118
Trendy Tailors,flared,116.06,"[5.0, 1.6, 5.0, 4.5, 3.7, 4.0, 1.8, 2.0, 2.6, 3.7]",M,Turkey,1908,54,8,Decreasing,1.8877040734336532
Blue Threads,cropped,84.13,"[3.6, 1.2, 2.3, 3.3, 1.4, 4.7, 4.7, 4.6, 5.0, 2.4]",XS,Turkey,2941,113,58,Increasing,1.8276076282199694
Trendy Tailors,sailor,26.38,"[4.5, 3.7, 3.6, 1.3, 5.0, 4.3, 3.7, 4.4, 2.9, 1.6]",S,USA,8463,389,9,Stable,1.9838907373057266
Blue Threads,tapered,123.89,"[5.0, 1.3, 5.0, 3.6, 3.2, 5.0, 2.9, 4.2, 2.4, 3.5]",XL,Vietnam,6792,356,57,Decreasing,2.0822936981616653
Comfort Fit,skinny,108.21,"[1.8, 3.4, 5.0, 2.3, 2.6, 1.4, 4.7, 3.4, 3.7, 4.6]",XS,USA,732,208,9,Decreasing,1.8021109438315652
Classic Cuts,flared,146.81,"[2.7, 5.0, 2.9, 4.9, 1.3, 5.0, 3.1, 3.1, 2.5, 3.2]",L,China,8378,184,35,Increasing,1.8704466139817328
Denim Co.,skinny,149.15,"[1.6, 5.0, 1.5, 1.8, 2.0, 4.8, 3.4, 1.1, 2.0, 2.9]",M,USA,4465,378,7,Decreasing,1.263358232681808
Comfort Fit,trouser,97.65,"[1.4, 4.5, 1.6, 1.9, 1.6, 5.0, 3.6, 5.0, 2.7, 4.6]",S,China,9379,439,43,Increasing,1.718221939378417
Retro Wear,sailor,88.43,"[1.6, 2.8, 1.3, 4.2, 5.0, 2.3, 1.9, 5.0, 4.3, 5.0]",XL,Vietnam,7198,298,15,Increasing,1.8446912760928622
Trendy Tailors,paper bag,114.34,"[4.6, 2.8, 5.0, 3.2, 2.6, 4.7, 2.0, 2.0, 4.2, 4.6]",L,Bangladesh,7684,8,52,Decreasing,2.0462481552711163
Classic Cuts,straight,35.13,"[1.8, 3.0, 5.0, 2.9, 5.0, 5.0, 4.2, 4.5, 3.5, 4.8]",S,Turkey,327,80,27,Increasing,2.421280749043741
Comfort Fit,skinny,91.38,"[5.0, 3.3, 2.1, 1.7, 3.0, 5.0, 3.7, 1.6, 1.8, 2.7]",XL,India,3462,65,5,Decreasing,1.5553796716812776
Retro Wear,paper bag,115.74,"[4.0, 3.2, 2.1, 4.9, 3.9, 1.9, 1.7, 2.4, 5.0, 1.6]",S,Bangladesh,259,9,53,Increasing,1.6197401920324037
Jeans Unlimited,paper bag,102.63,"[4.1, 2.7, 4.5, 1.3, 5.0, 3.4, 1.7, 3.7, 2.2, 1.4]",S,Turkey,2493,97,29,Stable,1.5633688486682913
Urban Style,tapered,45.68,"[4.9, 1.9, 4.3, 2.7, 1.8, 4.9, 1.3, 2.1, 5.0, 4.7]",XL,Vietnam,9540,36,3,Decreasing,1.8618441117748818
Modern Denim,skinny,79.3,"[2.9, 2.0, 2.6, 5.0, 1.7, 1.1, 1.2, 4.9, 5.0, 5.0]",XL,China,3962,276,56,Stable,1.6769017499897672
Trendy Tailors,wide,46.28,"[2.7, 2.5, 2.1, 4.3, 2.8, 4.0, 3.8, 5.0, 3.1, 5.0]",XL,Bangladesh,1779,461,44,Decreasing,2.010504034439191
Trendy Tailors,sailor,34.86,"[1.2, 3.4, 2.5, 4.2, 2.9, 5.0, 1.0, 1.1, 5.0, 5.0]",XS,Vietnam,2043,459,44,Decreasing,1.6686869882431197
Denim Co.,trouser,58.05,"[2.6, 1.5, 5.0, 2.9, 2.6, 5.0, 4.6, 2.1, 4.8, 1.9]",L,USA,9320,49,9,Decreasing,1.8105927367269654
Vintage Vogue,skinny,45.58,"[2.7, 2.8, 2.8, 3.2, 1.9, 1.8, 4.8, 3.3, 3.6, 5.0]",XL,Bangladesh,8070,496,51,Increasing,1.7182219393784175
Classic Cuts,sailor,65.13,"[4.1, 2.2, 2.0, 4.6, 4.8, 2.8, 1.7, 4.6, 5.0, 5.0]",L,Bangladesh,5279,378,45,Decreasing,2.1461149351943014
Comfort Fit,skinny,74.19,"[4.1, 4.4, 2.8, 4.1, 5.0, 5.0, 3.7, 1.9, 4.9, 1.7]",XS,China,3595,29,4,Increasing,2.2202444088498443
Jeans Unlimited,flared,123.63,"[3.0, 2.2, 3.0, 1.7, 1.6, 3.2, 4.3, 4.7, 2.7, 5.0]",S,Bangladesh,9788,287,28,Decreasing,1.6769017499897676
Jeans Unlimited,trouser,99.98,"[2.0, 3.6, 3.9, 1.6, 2.4, 2.2, 5.0, 4.9, 1.4, 4.2]",S,Bangladesh,9103,288,1,Increasing,1.6604885619845433
Denim Co.,tapered,107.37,"[5.0, 5.0, 2.7, 4.1, 3.5, 5.0, 4.3, 2.4, 2.5, 1.5]",L,China,3463,379,7,Decreasing,2.0732537685868664
Denim Co.,skinny,71.37,"[4.6, 3.8, 5.0, 4.1, 1.5, 1.9, 3.9, 1.2, 5.0, 2.6]",S,Mexico,7814,437,27,Stable,1.8618441117748818
Classic Cuts,trouser,40.61,"[5.0, 2.4, 5.0, 3.3, 3.6, 4.0, 3.7, 1.8, 5.0, 4.9]",XS,USA,5637,98,53,Decreasing,2.324341997764146
Vintage Vogue,flared,85.54,"[4.1, 4.3, 5.0, 2.1, 5.0, 2.0, 4.3, 1.4, 2.5, 2.0]",S,Bangladesh,9605,489,40,Stable,1.7851984100359055
Vintage Vogue,sailor,142.34,"[3.4, 4.7, 2.8, 2.8, 3.2, 3.0, 3.1, 4.4, 5.0, 1.3]",S,USA,761,100,41,Stable,1.870446613981732
